source_date,source_time,dataset,instrument,surface,tenor,metric,value,unit,day_change,percentile_1y,percentile_3y,observations_1y,observations_3y,source_url
2026-09-02,10:00,options,USD.CNY,25D BF,2Y,implied_vol_bid,0.1,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,2Y,implied_vol_mid,0.21,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,3M,implied_vol_ask,0.09,pct,-0.0025,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,3M,implied_vol_bid,0.09,pct,0.0025,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,3M,implied_vol_mid,0.09,pct,-0.0025,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,3W,implied_vol_ask,0.0675,pct,-0.0075,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,3W,implied_vol_bid,0.0675,pct,-0.0075,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,3W,implied_vol_mid,0.0675,pct,-0.0075,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,3Y,implied_vol_ask,0.35,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,3Y,implied_vol_bid,0.1,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,3Y,implied_vol_mid,0.225,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,6M,implied_vol_ask,0.135,pct,-0.0013,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,6M,implied_vol_bid,0.135,pct,-0.0013,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,6M,implied_vol_mid,0.135,pct,-0.0013,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,9M,implied_vol_ask,0.26,pct,0.095,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,9M,implied_vol_bid,0.07,pct,-0.095,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,9M,implied_vol_mid,0.165,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,18M,implied_vol_ask,0.5,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,18M,implied_vol_bid,-0.5,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,18M,implied_vol_mid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1D,implied_vol_ask,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1D,implied_vol_bid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1D,implied_vol_mid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1M,implied_vol_ask,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1M,implied_vol_bid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1M,implied_vol_mid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1W,implied_vol_ask,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1W,implied_vol_bid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1W,implied_vol_mid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1Y,implied_vol_ask,0.05,pct,-0.3,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1Y,implied_vol_bid,0.0,pct,0.35,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,1Y,implied_vol_mid,0.025,pct,0.025,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,2M,implied_vol_ask,0.0,pct,-0.35,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,2M,implied_vol_bid,0.0,pct,0.35,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,2M,implied_vol_mid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
